URN,LA (code),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (name),EstablishmentStatus (name),PhaseOfEducation (name),SchoolSponsors (name),OfstedLastInsp,Street,Town,Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,ParliamentaryConstituency (name),OfstedRating (name)
101534,380,3377,Peel Park Primary School and Nursery,Community school,Open,Primary,,43901,Peel Park Drive,Bradford,BD2 4PR,www.peelpark.eschools.co.uk,01274-639377,Mrs,Andrea,Grist,Bradford East,Good
111225,380,1000,Strong Close Nursery School,Local authority nursery school,Open,Nursery,,43174,Airedale Road,Keighley,BD21 4LW,www.strongclosenscc.co.uk,01535-605272,Mrs,Helen,Jones,Keighley,Good
111226,380,1001,Hirst Wood Nursery School,Local authority nursery school,Open,Nursery,,43410,Clarence Road,Shipley,BD18 4NJ,www.hirstwoodnscc.co.uk,01274-584368,Mrs,Jayne,Taylor,Shipley,Good
111227,380,1002,Lilycroft Nursery School,Local authority nursery school,Open,Nursery,,45008,Lilycroft Road,Bradford,BD9 5AD,www.lilycroftnurseryschool.com,01274-545647,Mrs,Sian,Hudson,Bradford West,Outstanding
111228,380,1008,Abbey Green Nursery School,Local authority nursery school,Open,Nursery,,44852,Green Lane,Bradford,BD8 8HT,www.abbeygreen.org,01274-722070,Mrs,Virginia,Robinson,Bradford West,Good
111229,380,1009,Midland Road Nursery School,Local authority nursery school,Open,Nursery,,44516,Bateman Street,Bradford,BD8 7DJ,www.midlandroadnursery.org.uk,01274-546492,Mrs,Virginia,Robinson,Bradford West,Outstanding
111230,380,1010,St Edmund's Nursery School & Children's Centre,Local authority nursery school,Open,Nursery,,43552,Washington Street,Bradford,BD8 9QW,http://www.stedmundsbradford.org.uk/,01274-543282,Mrs,Sian,Hudson,Bradford West,Outstanding
111204,380,2027,Frizinghall Primary School,Community school,Open,Primary,,44623,Salisbury Road,Bradford,BD9 4HP,www.frizinghall.bradford.sch.uk/,01274-543072,Mrs,Victoria,Merriman,Bradford West,Good
111218,380,2054,Newby Primary School,Community school,Open,Primary,,44833,Ryan Street,Bradford,BD5 7DQ,http://www.newbyprimary.co.uk,01274-772208,Mr,Gareth,Baterip,Bradford East,Good
111219,380,2055,Sandy Lane Primary School,Community school,Open,Primary,,43383,Cottingley Road,Bradford,BD15 9JU,www.sandylaneprimary.co.uk,01274-546493,Mrs,Fiona,Newsome,Bradford West,Good
111220,380,2057,Swain House Primary School,Community school,Open,Primary,,44993,Radcliffe Avenue,Bradford,BD2 1JL,www.swainhouse.co.uk,01274-639049,Mrs,Clare,Pugh,Bradford East,Good
111221,380,2058,Thackley Primary School,Community school,Open,Primary,,43641,Town Lane,Bradford,BD10 8PJ,http://www.thackleyschool.com,01274-414437,Mrs,Annette,Patterson,Bradford East,Good
111224,380,2062,Blakehill Primary School,Community school,Open,Primary,,44762,Highfield Road,Bradford,BD10 8QN,www.blakehillprimary.co.uk/,01274-414355,Mrs,Lisa,Keighley,Bradford East,Good
111230,380,2071,Wellington Primary School,Community school,Open,Primary,,43425,Dudley Hill Road,Bradford,BD2 3DE,www.wellingtonprimaryschool.co.uk/,01274-774446,Mrs,Joy,Wood,Bradford East,Good
111233,380,2074,Wibsey Primary School,Community school,Open,Primary,,45042,North Road,Bradford,BD6 1RL,www.wibseyprimary.co.uk/,01274-678016,Mr,Nigel,Cooper,Bradford South,Good
111237,380,2081,Stocks Lane Primary School,Community school,Open,Primary,,43410,Stocks Lane,Bradford,BD13 2RH,www.stockslaneprimary.co.uk,01274-880569,Mrs,Lucy,Neal,Bradford South,Good
111238,380,2084,Farfield Primary and Nursery School,Community school,Open,Primary,,43846,Reevy Crescent,Bradford,BD6 2BS,www.farfieldprimary.co.uk,01274-678545,Mrs,Sarah,Nichols,Bradford South,Good
111241,380,2090,Ley Top Primary School,Community school,Open,Primary,,44700,Avenel Road,Bradford,BD15 7PQ,www.leytopprimary.co.uk,01274-541554,Mrs,Sandra,Rouse,Bradford West,Good
111246,380,2100,Worthinghead Primary School,Community school,Open,Primary,,44699,Wyke Lane,Bradford,BD12 9EL,http://www.worthinghead.bradford.sch.uk,01274-414904,Mrs,Lillian,Sharp,Bradford South,Good
111247,380,2101,Poplars Farm Primary School,Community school,Open,Primary,,43117,Poplars Park Road,Bradford,BD2 1LQ,www.poplarsfarm.bradford.sch.uk/,01274-307490,Mrs,Jo,Speak,Bradford East,Good
111248,380,2102,Bankfoot Primary School,Community school,Open,Primary,,44735,Bolingbroke Street,Bradford,BD5 9NR,www.bankfootprimary.co.uk/,01274-732068,Mrs,Juliet,Wright,Bradford East,Requires improvement
111249,380,2103,Fagley Primary School,Community school,Open,Primary,,42816,Falsgrave Avenue,Bradford,BD2 3PU,www.fagley.bradford.sch.uk,01274-771124,Mrs,Keira Burnsall,Victoria Rutherford,Bradford East,Outstanding
111250,380,2107,Brackenhill Primary School,Community school,Open,Primary,,43651,Dracup Road,Bradford,BD7 4HA,www.brackenhill.bradford.sch.uk/,01274-578286,Mrs,Nair,Ishtiaq,Bradford South,Good
111253,380,2111,Crossflatts Primary School,Community school,Open,Primary,,43389,Morton Lane,Bingley,BD16 2EP,https://www.crossflatts.bradford.sch.uk/web,01274-782070,Mrs,Nicola,Bennett,Shipley,Good
111255,380,2113,Eldwick Primary School,Community school,Open,Primary,,43361,Warren Lane,Bingley,BD16 3LE,www.eldwick.bradford.sch.uk,01274-568361,Mr,Daniel,Lomas,Shipley,Good
111302,380,2124,Ingrow Primary School,Community school,Open,Primary,,44762,Broomhill Avenue,Keighley,BD21 1BW,http://www.ingrow.bradford.sch.uk,01535-603868,Mrs,Lauren,Murphy,Keighley,Good
111305,380,2128,Long Lee Primary School,Community school,Open,Primary,,45014,Cherry Tree Rise,Keighley,BD21 4RU,www.longleeprimary.org.uk/,01535-603986,Mrs,S,Holdsworth,Keighley,Good
111308,380,2134,Stanbury Village School,Community school,Open,Primary,,43229,Main Street,Keighley,BD22 0HA,http://www.stanburyvillageschool.co.uk,01535-642270,Mr,Graham,Swinbourne,Keighley,Good
111310,380,2140,Saltaire Primary School,Community school,Open,Primary,,43425,Albert Road,Shipley,BD18 4NR,http://www.saltaireprimaryschool.co.uk,01274-584093,Mr,Robert,Whitehead,Shipley,Good
111312,380,2145,Low Ash Primary School,Community school,Open,Primary,,43789,Wrose Road,Shipley,BD18 1AA,http://www.lowash.bradford.sch.uk,01274-582927,Mrs,Fiona Meer,& Mrs Beth Medhurst,Shipley,Good
111313,380,2146,Silsden Primary School,Community school,Open,Primary,,44629,Hawber Cote Lane,Keighley,BD20 0JJ,www.silsdenprimary.co.uk,01535-653290,Mr,Karl,Russell,Keighley,Good
111314,380,2147,Eastburn Junior and Infant School,Community school,Open,Primary,,44657,Green Close,Keighley,BD20 8UX,www.eastburn.bradford.sch.uk,01535-653293,Mr,David,Wilson,Keighley,Requires improvement
111315,380,2148,Steeton Primary School,Community school,Open,Primary,,43257,Market Street,Keighley,BD20 6NN,http://www.steeton.bradford.sch.uk,01535-653315,Miss,Claire,Redman,Keighley,Good
111321,380,2166,Ben Rhydding Primary School,Community school,Open,Primary,,43650,Bolling Road,Ilkley,LS29 8QH,www.benrhyddingprimary.co.uk,01943-431133,Mr,Peter,Timms,Keighley,Good
111323,380,2168,Hoyle Court Primary School,Community school,Open,Primary,,44755,Fyfe Grove,Shipley,BD17 6DN,http://www.hoylecourtprimary.co.uk,01274-581898,Mrs,Claire,Thirkill,Shipley,Good
111326,380,2173,Addingham Primary School,Community school,Open,Primary,,44993,Bolton Road,Ilkley,LS29 0NR,http://www.addingham.bradford.sch.uk,01943-830298,Miss,Linda,Spinks,Keighley,Outstanding
111327,380,2174,Sandal Primary School,Community school,Open,Primary,,43271,West Lane,Shipley,BD17 5DH,www.sandalprimaryschool.co.uk/,01274-598115,Mrs,Louise,Dale,Shipley,Good
111333,380,2182,Girlington Primary School,Community school,Open,Primary,,43123,Girlington Road,Bradford,BD8 9NR,www.girlingtonprimary.co.uk/,01274-493543,Mrs,K A,Swales,Bradford West,Good
111303,380,3013,St Matthew's CofE Primary School and Nursery,Voluntary controlled school,Open,Primary,,45084,Ivy House Road,Bradford,BD5 8FG,www.stmatthewsprimary.org.uk/,01274-731693,Mr,Paul,Urry,Bradford South,Requires improvement
111305,380,3021,St Luke's CofE Primary School,Voluntary controlled school,Open,Primary,,43852,Fagley Lane,Bradford,BD2 3NS,www.stlukes.bradford.sch.uk/,01274-639374,Mrs,Gemma,Zulu,Bradford East,Good
111307,380,3023,Low Moor CofE Primary School,Voluntary controlled school,Open,Primary,,40928,Park House Road,Bradford,BD12 0NN,www.lowmoor.bradford.sch.uk/,01274-600797,Mrs,Yvonne,Broadbent,Bradford South,Outstanding
111309,380,3026,All Saints' CofE Primary School,Voluntary controlled school,Open,Primary,,40080,Easby Drive,Ilkley,LS29 9BE,www.allsaintsilkley.bradford.sch.uk,01943-607852,Mrs,Helen,Dunn,Keighley,Outstanding
111313,380,3031,Burley and Woodhead CofE Primary School,Voluntary controlled school,Open,Primary,,44869,Sandholme Drive,Ilkley,LS29 7RQ,www.burleywoodhead.com,01943-862739,Mrs,Nina,Dobson,Shipley,Good
111319,380,3301,St Paul's CofE Primary School,Voluntary aided school,Open,Primary,,43873,St Paul's Avenue,Bradford,BD6 1ST,http://www.stpaulsceprimary.com,01274-679183,Mrs,Catherine,Palmer,Bradford South,Good
111320,380,3304,Idle CofE Primary School,Voluntary aided school,Open,Primary,,41683,Boothroyd Drive,Bradford,BD10 8LU,http://www.idleprimaryschool.co.uk,01274-410111,Mrs,Anne,Mason,Bradford East,Outstanding
111321,380,3308,Heaton St Barnabas' CofE Aided Primary School,Voluntary aided school,Open,Primary,,43139,Rossefield Road,Bradford,BD9 4DA,www.hstb.co.uk,01274-545019,Mrs,Diane,Smith,Bradford West,Good
111323,380,3313,St Stephen's CofE Primary School,Voluntary aided school,Open,Primary,,44868,Gaythorne Road,Bradford,BD5 7HU,www.ststephens.bradford.sch.uk/,01274-731698,Mr,Paul,Urry,Bradford East,Good
111339,380,3363,Keighley St Andrew's CofE Primary School and Nursery,Voluntary aided school,Open,Primary,,45064,Lustre Street,Keighley,BD21 2ND,www.keighleystandrews.co.uk,01535-604656,Mrs,Linda,Wright,Keighley,Good
111340,380,3365,Riddlesden St Mary's CofE Primary School,Voluntary aided school,Open,Primary,,43875,Grange Road,Keighley,BD20 5AB,www.riddlesdenstmarys.net,01535-210002,Mrs,L,Wright,Keighley,Good
111435,380,4074,Titus Salt School,Community school,Open,Secondary,,44637,Higher Coach Road,Bradford,BD17 5RH,http://www.titussaltschool.co.uk,01274-258969,Mr,Ian,Morrel,Shipley,Good
111431,380,5200,Killinghall Primary School,Foundation school,Open,Primary,,45021,Killinghall Road,Bradford,BD3 7JF,www.killinghall.bradford.sch.uk,01274-771166,Mrs,Claire,Spencer,Bradford East,Good
111432,380,5201,Foxhill Primary School,Foundation school,Open,Primary,,43888,Brighouse and Denholme Road,Bradford,BD13 1LN,http://www.foxhillprimaryschool.co.uk,01274-882426,Mrs,Sarah,Thomason,Bradford South,Good
111433,380,5202,Russell Hall Primary School,Foundation school,Open,Primary,,43895,West End,Bradford,BD13 2AW,http://www.russellhallprimary.co.uk,01274-882116,Mr,Andrew,Grant,Bradford South,Good
111434,380,5203,Hill Top CofE Primary School,Foundation school,Open,Primary,,45035,Common Road,Bradford,BD12 0TL,http://www.hilltop.ngfl.ac.uk,01274-678386,Mrs,Julie,Ball,Bradford South,Good
111437,380,5206,Myrtle Park Primary,Foundation school,Open,Primary,,43635,Ash Terrace,Bingley,BD16 1HB,http://www.myrtleparkprimary.co.uk,01274-564681,Mr,Kevin,Wheeler,Shipley,Good
111438,380,5207,Keelham Primary School,Foundation school,Open,Primary,,44939,Well Heads,Bradford,BD13 4HH,www.keelhamprimary.co.uk/,01274-832491,Mr,Robert,Hunter,Bradford West,Good
111439,380,5400,Bingley Grammar School,Voluntary aided school,Open,Secondary,,43186,Keighley Road,Bingley,BD16 2RS,http://www.bingleygrammar.org,01274-807700,Mr,Luke,Weston,Shipley,Good
130909,380,6905,Dixons City Academy,Academy sponsor led,Open,Secondary,Dixons Academies Trust,43432,Ripley Street,Bradford,BD5 7RR,http://www.dixonsca.com,01274-776777,Mr,Raouf,Mohammed,Bradford East,Outstanding
131020,380,1107,Tracks,Pupil referral unit,Open,Not applicable,,43384,21 Owlet Road,Shipley,BD18 2LU,,01274-582995,Mrs,Hannah,Whittaker,Shipley,Good
131357,380,3379,Home Farm Primary School,Community school,Open,Primary,,44588,Home Farm Close,Bradford,BD6 3NR,www.homefarm.bradford.sch.uk/,01274-777020,Mrs,Joanne,Poole,Bradford South,Good
132225,380,2197,Newhall Park Primary School,Community school,Open,Primary,,44517,Newhall Road,Bradford,BD4 6AF,www.newhallparkprimary.net/,01274-778577,Mrs,Karren,El Kheir,Bradford South,Good
132815,380,1012,Canterbury Nursery School and Centre for Children and Families,Local authority nursery school,Open,Nursery,,43894,Basil Street,Bradford,BD5 9HL,www.canterburynurseryschool.co.uk,01274-574539,Headteacher,Ruth,Beddoes,Bradford East,Outstanding
133410,380,1103,Park Aspire,Pupil referral unit,Open,Not applicable,,43903,Avenue Road,Bradford,BD5 8DB,https://parkaspire.co.uk/,01274-735298,Miss,Kirsty,Ratcliffe,Bradford East,Good
135228,380,7031,Chellow Heights Special School,Community special school,Open,Not applicable,,45091,Thorn Lane,Bradford,BD9 6AL,www.chellowheightsschool.co.uk,01274-484242,Mrs,Helen,Willett,Bradford West,Good
135229,380,7032,Beechcliffe Special School,Community special school,Open,Not applicable,,44749,Green Head Road,Keighley,BD20 6ED,http://www.beechcliffeschool.org/,01535-603041,Mr,Lee,Harris,Keighley,Good
135407,380,6906,Bradford Academy,Academy sponsor led,Open,All-through,The Diocese of West Yorkshire and the Dales,44938,Teasdale Street,Bradford,BD4 7QJ,www.bradfordacademy.co.uk,01274-256789,Mrs,Melanie,Saville,Bradford East,Requires improvement
135906,380,6908,Dixons Allerton Academy,Academy sponsor led,Open,All-through,Dixons Academies Trust,43530,Rhodesway,Bradford,BD8 0DH,http://www.dixonsaa.com,01274-089890,Mr,Danny,Carr,Bradford West,Good
140238,380,6909,Carlton Keighley,Academy sponsor led,Open,Secondary,Carlton Academy Trust,43859,Green Head Road,Keighley,BD20 6EB,https://carltonkeighley.org.uk/,01535-210333,Mr,Mark,Turvey,Keighley,Good
140905,380,4502,Ilkley Grammar School,Academy converter,Open,Secondary,Moorlands Learning Trust,44946,Cowpasture Road,Ilkley,LS29 8TR,http://www.ilkleygrammarschool.com/,01943-608424,Mrs,Carly,Purnell,Keighley,Outstanding
141002,380,4613,Feversham Girls' Secondary Academy,Academy converter,Open,Secondary,Feversham Education Trust,44630,158 Cliffe Road,Bradford,BD3 0LT,http://www.feversham-academy.fetrust.org.uk,01274-559500,Ms,Sajida,Muneer,Bradford East,Outstanding
141317,380,4004,Dixons Kings Academy,Free schools,Open,Secondary,Dixons Academies Trust,42762,Northside Road,Bradford,BD7 2AN,http://www.dixonska.com/,01274-089910,Mr,Richard,Wilson,Bradford South,Outstanding
141320,380,2000,Rainbow Primary Leadership Academy,Free schools,Open,Primary,Star Academies,44748,Nelson Street,Bradford,BD5 0HD,https://www.rainbowprimary.com/,01274-221400,Mr,Jonathan,Harris,Bradford East,Good
142127,380,4041,Belle Vue Girls' Academy,Academy converter,Open,Secondary,Bradford Diocesan Academies Trust,44539,Thorn Lane,Bradford,BD9 6NA,https://bvgacademy.co.uk/,01274-492341,Mrs,Deborah,Anness,Bradford West,Good
142251,380,4010,Dixons Trinity Academy,Free schools,Open,Secondary,Dixons Academies Trust,41669,Trinity Road,Bradford,BD5 0BE,http://www.dixonsta.com,01274-424350,,Emma,Steele,Bradford West,Outstanding
142252,380,2008,Dixons Music Primary,Free schools,Open,Primary,Dixons Academies Trust,44734,Trinity Road,Bradford,BD5 0BE,www.dixonsmp.com,01274-424350,Mrs,Nicola,Morrissey,Bradford West,Outstanding
142715,380,2003,Ryecroft Primary Academy,Academy sponsor led,Open,Primary,Delta Academies Trust,43496,Kesteven Close,Bradford,BD4 0LS,www.ryecroftpa.org.uk,01274-422044,Miss,Helen,Wrightson,Bradford South,Good
142907,380,2007,Feversham Primary Academy,Academy sponsor led,Open,Primary,Academies Enterprise Trust (AET),43565,Harewood Street,Bradford,BD3 9EG,http://www.fevershamprimaryacademy.org/,01274-721751,Mr,Naveed,Idrees,Bradford East,Outstanding
142916,380,2010,St Oswald's Church of England Primary Academy,Academy sponsor led,Open,Primary,Bradford Diocesan Academies Trust,43286,Cross Lane,Bradford,BD7 3JT,http://www.stoswalds.bradford.sch.uk/,01274-573396,Miss,Gillian,Wilson,Bradford South,Good
143046,380,2012,Whetley Academy,Academy sponsor led,Open,Primary,Delta Academies Trust,43230,Whetley Lane,Bradford,BD8 9HZ,http://www.whetleyacademy.org.uk/,01274-422041,Mr,Jonathan,Townend,Bradford West,Good
143201,380,2013,Christ Church Church of England Academy,Academy sponsor led,Open,Primary,Bradford Diocesan Academies Trust,44657,Wrose Brow Road,Shipley,BD18 2NT,www.christchurchacademy.org.uk,01274-410349,Mrs,Philippa,Foster,Shipley,Good
143229,380,2014,Merlin Top Primary Academy,Academy sponsor led,Open,Primary,Northern Education Trust,43552,Braithwaite Avenue,Keighley,BD22 6HZ,www.mta.northerneducationtrust.org,01535-210028,Mr,N,Cooper,Keighley,Outstanding
143353,380,3368,The Sacred Heart Catholic Primary School,Academy converter,Open,Primary,The Bishop Wheeler Catholic Academy Trust,44756,Valley Drive,Ilkley,LS29 8NL,http://sacredheartilkley.org,01943-609578,Mrs,Amanda,Rhodes,Keighley,Good
143358,380,2178,Shibden Head Primary Academy,Academy converter,Open,Primary,Focus Academy Trust (UK) Ltd,45091,Hainsworth Moor Grove,Bradford,BD13 2ND,http://www.shibdenheadprimaryacademy.co.uk,01274-882458,,Lucy,Shaw,Bradford South,Good
143514,380,4013,One In A Million Free School,Free schools,Open,Secondary,,45091,Cliffe Terrace,Bradford,BD8 7DX,http://www.OIAM.org/freeschool,01274-723439,Mrs,Jane,Hobbs,Bradford West,Requires improvement
144015,380,4064,Beckfoot School,Academy converter,Open,Secondary,Beckfoot Trust,41795,Wagon Lane,Bingley,BD16 1EE,www.beckfoot.org,01274-771444,Mr,Simon,Wade,Shipley,Outstanding
144017,380,7034,Hazelbeck Special School,Academy special converter,Open,Not applicable,Beckfoot Trust,43545,Wagon Lane,Bingley,BD16 1EE,www.hazelbeck.org,01274-777107,Miss,Beth,McPhail,Shipley,Outstanding
144018,380,7033,Co-op Academy Southfield,Academy special converter,Open,Not applicable,The Co-operative Academies Trust,43438,Haycliffe Lane,Bradford,BD5 9ET,https://southfield.coopacademies.co.uk,01274-779662,,Victoria,Clough,Bradford South,Good
144035,380,4019,Oasis Academy Lister Park,Academy sponsor led,Open,Secondary,Oasis Community Learning,43524,North Avenue,Bradford,BD8 7ND,http://www.oasisacademylisterpark.org/,01274-362050,Mrs,Jules,Millar,Bradford West,Good
140116,380,2114,Harden Primary School,Academy converter,Open,Primary,Exceed Academies Trust,43727,Long Lane,Bingley,BD16 1LJ,www.harden.bradford.sch.uk/,01535-273847,,Kirsty,Hutchinson,Shipley,Good
140111,380,2195,Iqra Academy,Academy converter,Open,Primary,Feversham Education Trust,,Drummond Road,Bradford,BD8 8DA,www.ia.iexel.org.uk,01274-773350,Ms,Andrea,Ives,Bradford West,
140204,380,6102,Bradford Girls' Grammar School,Free schools,Open,All-through,Bradford Diocesan Academies Trust,44706,Squire Lane,Bradford,BD9 6RB,www.bggs.com,01274-545395,Mrs,Jane,Tiller,Bradford West,Requires improvement
140358,380,2018,Dixons Marchbank Primary,Academy sponsor led,Open,Primary,Dixons Academies Trust,44678,Marchbank Road,Bradford,BD3 8QQ,www.dixonsmb.com,01274-089920,Mrs,Helen,Haunch,Bradford East,Good
140429,380,4021,Bradford Forster Academy,Academy sponsor led,Open,Secondary,Bradford Diocesan Academies Trust,45008,Fenby Avenue,Bradford,BD4 8RG,http://www.bradfordforsteracademy.co.uk/,01274-302400,Ms,Gemma,Earles,Bradford East,Special Measures
140639,380,2077,Shirley Manor Primary School,Academy converter,Open,Primary,,43622,Methuen Oval,Bradford,BD12 8SA,http://www.shirleymanor.co.uk,01274-679320,Mrs,Heather,Lacey,Bradford South,Good
141002,380,4024,Dixons McMillan Academy,Free schools,Open,Secondary,Dixons Academies Trust,42907,Trinity Road,Bradford,BD5 0JD,http://www.dixonsma.com/,01274-424350,Mrs,Kat,Lang,Bradford West,Outstanding
141059,380,3372,Our Lady of Victories Catholic School,Academy converter,Open,Primary,Blessed Christopher Wharton Catholic Academy Trust,45057,Guard House Road,Keighley,BD22 6JP,www.olvschool.co.uk,01535-607149,Mr,John,Devlin,Keighley,Good
141102,380,3369,St Anne's Catholic Primary School,Academy converter,Open,Primary,Blessed Christopher Wharton Catholic Academy Trust,44896,North Street,Keighley,BD21 3AD,www.stannesrc.net/,01535-210600,Mr,Paul,Booth,Keighley,Good
141138,380,2022,St Philip's CofE Primary School,Academy sponsor led,Open,Primary,Bradford Diocesan Academies Trust,45084,Whitby Terrace,Bradford,BD8 9JL,www.stphilipsceacademy.co.uk,01274-546496,Miss,Michelle,Hargreaves,Bradford West,Good
141415,380,2025,Dixons Manningham Academy,Academy sponsor led,Open,Primary,Dixons Academies Trust,45072,Wood Street,Bradford,BD8 8HY,www.dixonsmn.com/,01274-731695,Mrs,Terri,Leighton,Bradford West,Good
142031,380,4025,Beckfoot Upper Heaton,Academy sponsor led,Open,Secondary,Beckfoot Trust,45070,Thorn Lane,Bradford,BD9 6AL,http://www.beckfootupperheaton.org/,01274-493533,Mr,Biman,Dey,Bradford West,Good
142622,380,2026,High Crags Primary Leadership Academy,Academy sponsor led,Open,Primary,Star Academies,43544,Crag Road,Shipley,BD18 2ES,www.highcragsprimary.com,01274-584068,Mrs,Helen,Ray,Shipley,Good
142630,380,4616,Immanuel College,Academy converter,Open,Secondary,Bradford Diocesan Academies Trust,43474,Leeds Road,Bradford,BD10 9AQ,https://www.immanuelcollege.org/,01274-425900,Mr,Stephen,Mulligan,Bradford East,Good
142721,380,4027,Laisterdyke Leadership Academy,Academy sponsor led,Open,Secondary,Star Academies,44945,Thornbury Road,Bradford,BD3 8HE,www.laisterdykeleadershipacademy.com,01274-454400,Mr,Stephen,Dixon,Bradford East,Good
142801,380,4028,Tong Leadership Academy,Academy sponsor led,Open,Secondary,Star Academies,43775,Westgate Hill Street,Bradford,BD4 6NR,,01274-681455,Mr,Daniel,Styles,Bradford South,Requires improvement
142824,380,2028,Westminster Church of England Primary Academy,Academy converter,Open,Primary,Bradford Diocesan Academies Trust,43628,Westminster Road,Bradford,BD3 0HW,http://westminsterschool.co.uk/,01274-648490,Mr,Simon,Gallacher,Bradford East,Requires improvement
142825,380,4029,Buttershaw Business & Enterprise College Academy,Academy sponsor led,Open,Secondary,Bradford Diocesan Academies Trust,44965,Reevy Road West,Bradford,BD6 3PX,www.buttershaw.net,01274-676285,Mr,Andrew,Taylor,Bradford South,Serious Weaknesses
142836,380,2020,Barkerend Primary Leadership Academy,Academy converter,Open,Primary,Star Academies,43595,Hendford Drive,Bradford,BD3 0QT,https://www.barkerendprimary.com/,01274-773003,Mrs,Ann,Winter,Bradford East,Outstanding
142945,380,3352,St John the Evangelist Catholic Primary School,Academy converter,Open,Primary,Blessed Christopher Wharton Catholic Academy Trust,43627,Beacon Road,Bradford,BD6 3DQ,www.stjohntheevangelistrc.co.uk/,01274-679030,Mr,Ben,Lavin,Bradford South,Good
