URN,LA (code),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (name),EstablishmentStatus (name),PhaseOfEducation (name),SchoolSponsors (name),OfstedLastInsp,Street,Town,Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,ParliamentaryConstituency (name),OfstedRating (name)
142946,380,3375,Oxenhope CofE Primary School,Academy converter,Open,Primary,Bradford Diocesan Academies Trust,43641,Cross Lane,Keighley,BD22 9LH,http://www.oxenhopeprimary.org.uk,01535-642271,Mrs,Alice,Jones,Keighley,Good
142947,380,3371,"St Walburga's Catholic Primary School, A Voluntary Academy",Academy converter,Open,Primary,Blessed Christopher Wharton Catholic Academy Trust,43651,Victoria Park,Shipley,BD18 4RL,www.stwalburgas.co.uk,01274-531102,Mrs,Elizabeth,Fearnley,Shipley,Good
142948,380,5205,Oakworth Primary School,Academy converter,Open,Primary,Bronte Academy Trust,44909,Station Road,Keighley,BD22 7HX,www.oakworthprimary.co.uk,01535-642309,Mr,Ed,Whitehead,Keighley,Good
142949,380,2121,Haworth Primary School,Academy converter,Open,Primary,Bronte Academy Trust,43564,Rawdon Road,Keighley,BD22 8DW,http://haworthprimary.co.uk,01535-642359,Mrs,Paula,Howe,Keighley,Good
142950,380,2127,Lees Primary School,Academy converter,Open,Primary,Bronte Academy Trust,,Haworth Road,Keighley,BD22 9DL,http://www.lees.bradford.sch.uk,01535-643320,Mr,James,Travers,Keighley,
142951,380,3350,"St Winefride's Catholic Primary School, A Voluntary Academy",Academy converter,Open,Primary,Blessed Christopher Wharton Catholic Academy Trust,43558,St Paul's Avenue,Bradford,BD6 1SR,https://www.stwinefridesprimary.co.uk/,01274-677705,Mr,Ben,Lavin,Bradford South,Good
143032,380,3370,St Joseph's Catholic Primary School,Academy converter,Open,Primary,Blessed Christopher Wharton Catholic Academy Trust,43600,Queen's Road,Keighley,BD21 1AR,www.stjosephskeighley.org.uk/,01535-605880,,John,Devlin,Keighley,Good
143132,380,2001,Beckfoot Allerton Primary School and Nursery,Academy converter,Open,Primary,Beckfoot Trust,44853,Garforth Street,Bradford,BD15 7HB,www.beckfootallerton.org,01274-541587,Miss,Michelle,Blanchard,Bradford West,Requires improvement
143133,380,2029,Horton Grange Primary School,Academy converter,Open,Primary,Exceed Academies Trust,,Spencer Road,Bradford,BD7 2EU,www.hortongrangeacademy.co.uk,01274-573287,Miss,Rebecca,Marshall,Bradford West,
143134,380,2038,Beckfoot Heaton Primary,Academy converter,Open,Primary,Beckfoot Trust,43783,Haworth Road,Bradford,BD9 6LL,www.beckfootheaton.org,01274-363070,Mrs,Zoe,Mawson,Bradford West,Good
143135,380,2180,Horton Park Primary School,Academy converter,Open,Primary,Exceed Academies Trust,44720,Dawnay Road,Bradford,BD5 9LQ,www.hortonparkprimary.co.uk,01274-574544,Miss,Saima,Bahadur,Bradford East,Good
143136,380,2186,Copthorne Primary School,Academy converter,Open,Primary,Exceed Academies Trust,44503,All Saints' Road,Bradford,BD7 3AY,https://copthorneacademy.co.uk,01274-501460,Miss,Stephanie,Ngenda,Bradford West,Outstanding
143112,380,4032,Beckfoot Oakbank,Academy sponsor led,Open,Secondary,Beckfoot Trust,44868,Oakworth Road,Keighley,BD22 7DU,www.oakbank.org.uk,01535-210111,Mrs,Liz,Hart,Keighley,Serious Weaknesses
143114,380,4040,Beckfoot Thornton,Academy sponsor led,Open,Secondary,Beckfoot Trust,43726,Leaventhorpe Lane,Bradford,BD13 3BH,www.beckfootthornton.org,01274-881082,Mrs,Sally,Trusselle,Bradford West,Requires improvement
143510,380,2030,Worth Valley Primary School,Academy sponsor led,Open,Primary,Leading Learners Academy Trust (Tyldesley Primary School),43754,Bracken Bank Crescent,Keighley,BD22 7AX,www.worthvalleyprimary.co.uk,01535-604240,Miss,Ceinwen,Lodge,Keighley,Good
143511,380,2031,Reevy Hill Primary School,Academy sponsor led,Open,Primary,Leading Learners Academy Trust (Tyldesley Primary School),43749,Bedale Drive,Bradford,BD6 3ST,www.reevyhill.co.uk,01274-677549,Mr,Gary,Stott,Bradford South,Good
143533,380,7004,High Park School,Academy special sponsor led,Open,Not applicable,Carlton Academy Trust,43859,Thorn Lane,Bradford,BD9 6RY,www.highpark.org.uk,01274-614092,Mrs,Bridie,Dorning,Bradford West,Good
143604,380,2041,Lapage Primary School and Nursery,Academy converter,Open,Primary,Nurture Academies Trust,43852,Barkerend Road,Bradford,BD3 8QX,www.lapageprimaryschool.co.uk/,01274-669100,Mrs,Shameem,Akhtar,Bradford East,Good
143605,380,2184,Atlas Community Primary School,Academy converter,Open,Primary,The Priestley Academy Trust,44868,Lincoln Close,Bradford,BD8 8DL,http://www.atlasprimary.co.uk/,01274-495190,Mrs,Lisa,Simpson,Bradford West,Requires improvement
143606,380,2193,Westbourne Primary School,Academy converter,Open,Primary,The Priestley Academy Trust,43783,Skinner Lane,Bradford,BD8 7PL,www.westbourne.bradford.sch.uk/,01274-483138,Mr,Mathew,Atkinson,Bradford West,Good
143607,380,2167,Denholme Primary School,Academy converter,Open,Primary,Nurture Academies Trust,43782,Minorca Mount,Bradford,BD13 4AY,www.denholme.bradford.sch.uk/,01274-832123,Mr,Malcolm,Campbell,Shipley,Requires improvement
143608,380,2179,Margaret McMillan Primary School,Academy converter,Open,Primary,The Priestley Academy Trust,43804,Scotchman Road,Bradford,BD9 5DF,www.mmps.bradford.sch.uk,01274-495934,Mrs,Lorraine,Martin,Bradford West,Good
143609,380,2132,Parkwood Primary School,Academy converter,Open,Primary,Nurture Academies Trust,43902,Parkwood Street,Keighley,BD21 4QH,www.parkwood.bradford.sch.uk/,01535-603832,Mrs,Rachel,Taylor,Keighley,Good
143611,380,2135,Victoria Primary School,Academy converter,Open,Primary,Nurture Academies Trust,43789,Cartmel Road,Keighley,BD21 2RD,www.victoria.bradford.sch.uk,01535-210110,Mrs,Jane,Dark,Keighley,Requires improvement
143612,380,2044,Lilycroft Primary School,Academy converter,Open,Primary,The Priestley Academy Trust,43776,Lilycroft Road,Bradford,BD9 5AD,http://www.lilycroftprimaryschool.co.uk/,01274-543357,Mr,Mathew,Atkinson,Bradford West,Good
143613,380,2034,Green Lane Primary School,Academy converter,Open,Primary,The Priestley Academy Trust,43761,Green Lane,Bradford,BD8 8HT,www.greenlane.bradford.sch.uk/,01274-774644,Mrs,Jane,Townend,Bradford West,Good
143729,380,4047,New College Bradford,Free schools 16 to 19,Open,16 plus,New Collaborative Learning Trust,,Nelson Street,Bradford,BD5 0DX,https://ncbradford.ac.uk/,01274-089189,Mr,Stuart,Nash,Bradford East,
143704,380,4048,Dixons Free Sixth Form,Free schools 16 to 19,Open,16 plus,Dixons Academies Trust,45064,Bowling Old Lane,Bradford,BD5 7JR,https://www.dixons6a.com/,01274-089770,,Mark,Rothery,Bradford East,Outstanding
143847,380,2032,The Academy At St. James,Academy sponsor led,Open,Primary,Bradford Diocesan Academies Trust,44686,Chelwood Drive,Bradford,BD15 7YD,www.academystjames.com,01274-777095,Mr,Chris,Tolson,Bradford West,Good
143944,380,2061,Thornton Primary School,Academy converter,Open,Primary,Focus Academy Trust (UK) Ltd,43847,Thornton Road,Bradford,BD13 3NN,www.thorntonprimary.co.uk,01274-833839,Mrs,Elizabeth,Davison,Bradford West,Good
144022,380,2123,Holycroft Primary School,Academy converter,Open,Primary,Northern Star Academies Trust,44981,Victoria Road,Keighley,BD21 1JF,http://www.holycroftprimary.org.uk,01535-604183,Mr,G,Morrison,Keighley,Good
144006,380,2117,Wilsden Primary School,Academy converter,Open,Primary,Focus Academy Trust (UK) Ltd,43838,Tweedy Street,Bradford,BD15 0AE,www.wilsdenprimary.co.uk,01535-272263,Mrs,Elizabeth,Davison,Shipley,Requires improvement
144050,380,2036,Byron Primary School,Academy converter,Open,Primary,Nurture Academies Trust,44839,Barkerend Road,Bradford,BD3 0AB,www.byronprimary.com,01274-722981,Mr,Richard,O'Sullivan,Bradford East,Good
144532,380,2035,Woodside Academy,Academy converter,Open,Primary,Leading Learners Academy Trust (Tyldesley Primary School),43734,Fenwick Drive,Bradford,BD6 2PG,www.woodsideacademy.co.uk,01274-414350,Miss,Kirsty,Porter,Bradford South,Good
144900,380,5204,Hollingwood Primary School,Academy converter,Open,Primary,,44826,Hollingwood Lane,Bradford,BD7 4BE,www.hollingwood.org,01274-575353,Mrs,Tahira,Asghar (Acting Headteacher),Bradford South,Good
144901,380,2126,Laycock Primary School,Academy converter,Open,Primary,,44818,Laycock Lane,Keighley,BD22 0PP,www.laycockprimary.co.uk/,01535-605916,Mrs,Juliet,Nove,Keighley,Good
144902,380,2183,Farnham Primary School,Academy converter,Open,Primary,,44468,Stratford Road,Bradford,BD7 3HU,http://www.farnhamprimary.org.uk,01274-573297,Mrs,Baljit,Bains,Bradford West,Outstanding
144930,380,2115,Beckfoot Priestthorpe Primary School & Nursery,Academy converter,Open,Primary,Beckfoot Trust,44532,Mornington Road,Bingley,BD16 4JS,https://www.beckfootpriestthorpe.org,01274-564879,Mrs,Christina,Gunning,Shipley,Good
144931,380,7030,Beckfoot Phoenix,Academy special converter,Open,Not applicable,Beckfoot Trust,44608,Braithwaite Avenue,Keighley,BD22 6HZ,www.phoenixschool.org.uk,01535-607038,Headteacher,Sarah,Lloyd,Keighley,Good
145112,380,3028,East Morton CofE Primary School,Academy converter,Open,Primary,Bradford Diocesan Academies Trust,44595,Street Lane,Keighley,BD20 5SE,www.eastmortonceprimary.co.uk/,01274-569447,Mrs,Anne,Proctor,Keighley,Good
145213,380,4061,Appleton Academy,Academy sponsor led,Open,All-through,Exceed Academies Trust,44504,Woodside Road,Bradford,BD12 8AL,www.appletonacademy.co.uk,01274-600550,Ms,Helen,Jones,Bradford South,Good
145220,380,2037,Clayton St John CofE Primary School,Academy sponsor led,Open,Primary,Bradford Diocesan Academies Trust,44622,Bradford Road,Bradford,BD14 6DD,www.claytonce.co.uk,01274-815862,Mrs,Gemma,Emsley,Bradford West,Requires improvement
145220,380,5208,St John's CofE Primary School,Academy converter,Open,Primary,Bradford Diocesan Academies Trust,,Dawson Lane,Bradford,BD4 6JF,http://www.stjohnsceprimary.co.uk,01274-681959,Mr,Andrew,Knight,Bradford South,
145225,380,3035,Woodlands Church of England Primary Academy,Academy converter,Open,Primary,Bradford Diocesan Academies Trust,44937,Mill Carr Hill Road,Bradford,BD12 7EZ,www.woodlandsprimary.org.uk/,01274-678385,Mr,Michael,Spink,Bradford South,Good
145303,380,2039,Holybrook Primary School,Academy sponsor led,Open,Primary,Exceed Academies Trust,44657,Rillington Mead,Bradford,BD10 0EF,,01274-611327,Mr,Chris,Lloyd,Bradford East,Outstanding
145752,380,2056,Co-op Academy Parkland,Academy sponsor led,Open,Primary,The Co-operative Academies Trust,44994,Old Park Road,Bradford,BD10 9BG,https://parkland.coopacademies.co.uk/,01274-611512,Mrs,Charlotte,Wierzbianski,Bradford East,Requires improvement
145936,380,2042,Thornbury Primary Leadership Academy,Academy converter,Open,Primary,Star Academies,44819,Dick Lane,Bradford,BD3 7AU,https://www.thornburyprimary.com,01274-665812,,Clare,Daddy,Bradford East,Good
150049,380,2112,Cullingworth Village Primary School,Academy converter,Open,Primary,Bradford Diocesan Academies Trust,44903,New School Lane,Bradford,BD13 5DA,www.cullingworth.bradford.sch.uk,01535-273839,Mrs,Cathy,Isaac,Shipley,Good
150238,380,4073,Dixons Cottingley Academy,Academy sponsor led,Open,Secondary,Dixons Academies Trust,44881,Cottingley New Road,Bingley,BD16 1TZ,www.dixonsco.com,01274-567281,Miss,Francesca,Hitch,Shipley,Good
150223,380,2120,Eastwood Community School,Academy converter,Open,Primary,Northern Star Academies Trust,44979,Victoria Avenue,Keighley,BD21 3JL,www.eastwood.bradford.sch.uk/,01535-610212,Mrs,Suzanne,Carter,Keighley,Good
150321,380,2046,Beckfoot Nessfield,Academy sponsor led,Open,Primary,Beckfoot Trust,44944,Nessfield Drive,Keighley,BD22 6NP,,01535-665628,Ms,Linda,Hanson,Keighley,Requires improvement
150435,380,2049,Fearnville Primary School,Academy sponsor led,Open,Primary,Nurture Academies Trust,44999,Fearnville Drive,Bradford,BD4 8DX,https://www.fearnville.bradford.sch.uk/,01274-664661,Mr,Wahid,Zaman,Bradford East,Requires improvement
150512,380,2050,Wycliffe CofE Primary School,Academy sponsor led,Open,Primary,Bradford Diocesan Academies Trust,45042,Saltaire Road,Shipley,BD18 3HZ,https://wycliffeprimary.org/,01274-584779,Mrs,Denise,Baxter,Shipley,Good
150536,380,2053,Shipley CofE Primary School,Academy sponsor led,Open,Primary,Bradford Diocesan Academies Trust,44819,Otley Road,Shipley,BD18 2PT,www.shipleyceprimary.org.uk,01274-583900,Mr,Gavin,Hamilton,Shipley,Good
150621,380,2024,Crossley Hall Primary School,Academy converter,Open,Primary,,45063,Thornton Road,Bradford,BD8 0HJ,www.crossleyhallprimary.co.uk,01274-488703,Mrs,E,Monnery,Bradford West,Good
150624,380,2199,Lower Fields Primary Academy,Academy converter,Open,Primary,Delta Academies Trust,45063,Fenby Avenue,Bradford,BD4 8RG,www.lfpa.org.uk,01274-422043,Miss,Rebecca,Stansfield,Bradford East,Good
150633,380,2033,Greengates Primary Academy,Academy converter,Open,Primary,Delta Academies Trust,45085,31 Stockhill Road,Bradford,BD10 9AX,www.ggpa.org.uk,01274-422042,Miss,Seetle,Kaur,Bradford East,Good
150838,380,2059,Southmere Primary Academy,Academy sponsor led,Open,Primary,Delta Academies Trust,,Ewart Street,Bradford,BD7 3NR,www.smpa.org.uk,01274-422040,Mrs,Rachael,Binns,Bradford South,
150851,380,1104,Bradford Alternative Provision Academy,Academy alternative provision converter,Open,Not applicable,Exceed Academies Trust,45042,Baker Street,Shipley,BD18 3JE,www.bradfordapacademy.co.uk,01274-585318,Mr,Richard,Bottomley,Shipley,Outstanding
151107,380,4085,Bronte Girls' Academy,Free schools,Open,Secondary,Feversham Education Trust,,Bolling Road,Bradford,BD4 7EB,bga.iexel.org.uk/,01274-044055,Mrs,Rehana,Shafquat,Bradford East,
151100,380,4100,Carlton Bolling,Academy converter,Open,Secondary,Carlton Academy Trust,45057,Undercliffe Lane,Bradford,BD3 0DU,http://www.carltonbolling.co.uk,01274-633111,Mr,Mohammed,Azum,Bradford East,Outstanding
151117,380,7035,Co-op Academy Delius,Academy special converter,Open,Not applicable,The Co-operative Academies Trust,,Barkerend Road,Bradford,BD3 8QX,delius.coopacademies.co.uk,01274-666472,Mrs,Emma,Hardaker,Bradford East,
151150,380,2063,Oldfield Primary School,Academy sponsor led,Open,Primary,Bronte Academy Trust,44993,Oldfield Lane,Keighley,BD22 0HZ,www.oldfieldprimarykeighley.co.uk,01535-642394,Mr,James,Travers,Keighley,Good
151217,380,4086,Co-op Academy Grange,Academy sponsor led,Open,Secondary,The Co-operative Academies Trust,44888,Co-Op Academy Grange,Bradford,BD5 9ET,https://grange.coopacademies.co.uk/,01274-779662,Mr,Alex,Jeffrey,Bradford South,Serious Weaknesses
151204,380,4087,"Eden Boys' Leadership Academy, Bradford",Free schools,Open,Secondary,Star Academies,,Syedna Way,Bradford,BD8 9AR,www.edenboysbradford.com,01274-280350,Headteacher,Robina,Naznine,Bradford West,
151709,380,2086,Co-Op Academy Princeville,Academy converter,Open,Primary,The Co-operative Academies Trust,,Willowfield Street,Bradford,BD7 2AH,https://princeville.coopacademies.co.uk,01274-573298,Mr,Ryan,Lewis,Bradford West,
151922,380,3351,"St Francis Catholic Primary School, A Voluntary Academy",Academy converter,Open,Primary,Blessed Christopher Wharton Catholic Academy Trust,,Myers Lane,Bradford,BD2 4ES,http://www.stfrancis.bradford.sch.uk,01274-638520,Mrs,Andrea,Haines,Bradford East,
151923,380,3354,"St Cuthbert and the First Martyrs' Catholic Primary School, A Voluntary Academy",Academy converter,Open,Primary,Blessed Christopher Wharton Catholic Academy Trust,44889,Scotchman Road,Bradford,BD9 5AT,www.stcuthberts.bradford.sch.uk,01274-543445,Mrs,Sarah,Walsh,Bradford West,Good
151924,380,3367,"St Joseph's Catholic Primary School, A Voluntary Academy",Academy converter,Open,Primary,Blessed Christopher Wharton Catholic Academy Trust,,Crownest Road,Bingley,BD16 4HQ,http://www.stjosephs.ngfl.ac.uk,01274-564883,Mrs,Louise,Robinson,Shipley,
151939,380,2002,Carlton Mills,Academy converter,Open,Primary,Carlton Academy Trust,,Scotchman Road,Bradford,BD9 5AT,https://carltonmillsprimary.org/,01274-401060,Mrs,Claire,McDonald,Bradford West,
152021,380,3333,"St Anthony's Catholic Primary School, A Voluntary Academy",Academy converter,Open,Primary,Blessed Christopher Wharton Catholic Academy Trust,,Bradford Road,Bradford,BD14 6HW,http://www.stanthonysclayton.bradford.sch.uk/,01274-414761,Mrs,Sarah,Kenyon,Bradford West,
152022,380,3373,"St Anthony's Catholic Primary School, A Voluntary Academy",Academy converter,Open,Primary,Blessed Christopher Wharton Catholic Academy Trust,,High Busy Lane,Shipley,BD18 1HD,http://www.stanthonysshipley.org.uk,01274-592738,Mr,Ashley,Wilkinson,Shipley,
152101,380,3338,"St Joseph's Catholic Primary School, A Voluntary Academy",Academy converter,Open,Primary,Blessed Christopher Wharton Catholic Academy Trust,,Park Lane,Bradford,BD5 0RB,www.stjosephsbradford.co.uk,01274-727970,Mrs,Sarah,Tolson,Bradford West,
152102,380,3349,"St William's Catholic Primary School, A Voluntary Academy",Academy converter,Open,Primary,Blessed Christopher Wharton Catholic Academy Trust,,Young Street,Bradford,BD8 9RG,www.stwilliamsbradford.org.uk/,01274-545743,Miss,Fiona,Parker,Bradford West,
152159,380,2110,Cottingley Village Primary School,Academy converter,Open,Primary,Exceed Academies Trust,,Cottingley Moor Road,Bingley,BD16 1SY,www.cottingleyvillageprimary.org.uk,01274-567545,Mrs,Andrea,Mannings,Shipley,
152201,380,2093,Grove House Primary School,Academy converter,Open,Primary,,,Myers Lane,Bradford,BD2 4ED,https://grovehouseprimary.co.uk,01274-636921,Mrs,Alex,Summerscales,Bradford East,
152256,380,3353,"Our Lady and St Brendan's Catholic Primary School, A Voluntary Academy",Academy converter,Open,Primary,Blessed Christopher Wharton Catholic Academy Trust,,The Bank,Bradford,BD10 0QA,www.ourladyandstbrendans.co.uk/,01274-611992,Mrs,Sarah,Delaney,Bradford East,
152258,380,3335,"St Columba's Catholic Primary School, a Voluntary Academy",Academy converter,Open,Primary,Blessed Christopher Wharton Catholic Academy Trust,,Tong Street,Bradford,BD4 9PY,www.stcolumbas.bradford.sch.uk/,01274-681961,Mrs,Anna,Gautrey,Bradford South,
152308,380,2048,Marshfield Primary,Academy converter,Open,Primary,Carlton Academy Trust,,Thornton Lane,Bradford,BD5 9DS,www.marshfieldprimary.com/,01274-573295,Miss,Zara,Kearns,Bradford East,
152328,380,2200,Thorpe Primary,Academy converter,Open,Primary,Carlton Academy Trust,45085,Albion Road,Bradford,BD10 9PY,www.thorpeprimary.org.uk/,01274-414126,Mr,Paul,Mennell,Bradford East,Good
152517,380,3334,"St. Clare's Catholic Primary School, A Voluntary Academy",Academy converter,Open,Primary,Blessed Christopher Wharton Catholic Academy Trust,,Fagley Road,Bradford,BD2 3JD,,01274-637841,Mrs,Carmel,Utting,Bradford East,
152518,380,3355,"St Matthew's Catholic Primary School, a Voluntary Academy",Academy converter,Open,Primary,Blessed Christopher Wharton Catholic Academy Trust,,Saffron Drive,Bradford,BD15 7NE,www.stmatthewscatholic.co.uk,01274-541737,Mr,Paul,Whitehead,Bradford West,
152520,380,4023,"St. Bede's and St. Joseph's Catholic College, A Voluntary Academy",Academy converter,Open,Secondary,Blessed Christopher Wharton Catholic Academy Trust,,Highgate,Bradford,BD9 4BQ,http://sbsj.co.uk/,01274-941941,Mr,Lawrence,Bentley,Bradford West,
152545,380,4092,Trinity Academy Bradford,Academy sponsor led,Open,Secondary,Trinity Multi Academy Trust,,Deanstones Lane,Bradford,BD13 2AS,https://bradford.trinitymat.org,01274-882214,Mr,Tom,Taylor,Bradford South,
152909,380,2015,Clayton Village Primary School,Academy converter,Open,Primary,,,John Street,Bradford,BD14 6AD,www.claytonvillageprimary.org.uk/,01274-414115,Mrs,Heidi,Rahim,Bradford West,
153011,380,4093,Hanson Academy,Academy sponsor led,Open,Secondary,Delta Academies Trust,,Sutton Avenue,Bradford,BD2 1JP,,01274-776200,Mr,Samuel,Sheedy,Bradford East,
153133,380,2069,Baildon Glen Primary School,Academy sponsor led,Open,Primary,Exceed Academies Trust,,Thompson Lane,Shipley,BD17 7LY,https://www.baildonglenacademy.co.uk/,01274-582514,Mrs,Kirsty,Hutchinson,Shipley,
153120,380,3000,All Saints CofE Primary School,Academy converter,Open,Primary,Prince Henry's Collaborative Learning Trust,,1 Little Horton Green,Bradford,BD5 0NG,www.allsaints.bradford.sch.uk,01274-415222,Mrs,Kathryn,Shaw,Bradford West,
153201,380,3360,Baildon Church of England Primary School,Academy converter,Open,Primary,Bradford Diocesan Academies Trust,,Coverdale Way,Shipley,BD17 6TE,www.baildonce.co.uk,01274-598540,Mrs,Katie,Savage,Shipley,
153232,380,2075,Bowling Park Primary School,Academy converter,Open,Primary,Exceed Academies Trust,,New Cross Street,Bradford,BD5 8BT,https://www.bowlingpark.school/,01274-770270,Mrs,Salma,Rahman,Bradford East,
153233,380,2185,Miriam Lord Primary School,Academy converter,Open,Primary,The Priestley Academy Trust,,Bavaria Place,Bradford,BD8 8RG,www.miriamlord.co.uk,0127-496611,Mr,Bryan,Harrison,Bradford West,
153339,380,4094,"The Holy Family Catholic School, a Voluntary Academy",Academy sponsor led,Open,Secondary,Blessed Christopher Wharton Catholic Academy Trust,,Spring Gardens Lane,Keighley,BD20 6LH,www.holyfamilyschool.uk,01535-210212,Ms,S,Mather,Keighley,
153519,380,7000,Oastlers School,Academy special converter,Open,Not applicable,Exceed Academies Trust,,Flockton Road,Bradford,BD4 7RH,www.oastlers.com,01274-307456,Mrs,Lyndsey,Brown,Bradford East,
153623,380,2094,Cavendish Primary School,Academy converter,Open,Primary,Exceed Academies Trust,,Hall Road,Bradford,BD2 2DU,http://www.cavendishprimary.org.uk,01274-772175,Mrs,Noreen,Dunn,Bradford East,
153626,380,2198,Knowleswood Primary School,Academy converter,Open,Primary,Exceed Academies Trust,,Knowles Lane,Bradford,BD4 9AE,www.knowleswood.co.uk,01274-778177,Mrs,Noreen,Dunn,Bradford South,
153643,380,3347,Co-Op Academy Penny Oaks,Academy converter,Open,Primary,The Co-operative Academies Trust,,Upper Nidd Street,Bradford,BD3 9ND,https://www.pennyoaks.coopacademies.co.uk/,01274-773977,Mrs,Michelle,Khambhaita,Bradford East,
153713,380,3362,Trinity All Saints CofE VA Primary School,Academy converter,Open,Primary,Prince Henry's Collaborative Learning Trust,,Church Street,Bingley,BD16 2PP,www.trinityallsaintsbingley.org.uk,01274-564977,Mrs,Catherine,Taylor,Shipley,
153732,380,2087,Carrwood Primary School,Academy converter,Open,Primary,Leading Learners Academy Trust (Tyldesley Primary School),,Eversley Drive,Bradford,BD4 0EQ,www.carrwoodprimaryschool.co.uk,01274-664864,Mrs,Nicola,Radcliffe,Bradford South,
153937,380,2150,Ashlands Primary School,Academy converter,Open,Primary,Moorlands Learning Trust,,Leeds Road,Ilkley,LS29 8JY,www.ashlandsprimary.org.uk,01943-609050,Mrs,Donna,Russell,Keighley,
153938,380,2192,Menston Primary School,Academy converter,Open,Primary,Moorlands Learning Trust,,St. Peters Way,Ilkley,LS29 6NY,www.menstonprimary.co.uk/,01943-873180,Mrs,Marie,Wilson,Shipley,
150001,380,4112,Parkside School,Academy converter,Open,Secondary,Wellspring Academy Trust,,Parkside Terrace,Bradford,BD13 5AD,http://www.parksideschool.net,01535-272752,Mrs,Katharine,Needham,Shipley,
150002,380,2203,Burley Oaks Primary School,Academy converter,Open,Primary,Moorlands Learning Trust,,Langford Lane,Ilkley,LS29 7EJ,http://www.burleyoaks.co.uk,01943-862642,Mrs,Claire,Lee,Shipley,
150016,380,2043,Lidget Green Primary School,Academy converter,Open,Primary,,,Birks Fold,Bradford,BD7 2QN,www.lidgetgreen.net,01274-579576,Mrs,Louise,Woffendin,Bradford South,
